     EPOCH     gpu_mem     box       obj       cls     total   targets  img_size         P         R     mAP@.5  mAP@.5-.95 val_loss(box, obj, cls)
                                                                                 precision    recall    mAP_0.5  mAP_0.5:0/95  box    object    class
                                                                                    ìKçáó¶    çƒåªó¶   ï°êîclassïΩãœìKçáó¶    loss     loss     loss
-----------------------------------------------------------------------------------------------------------------------------------------------------
   173/299     7.38G    0.0173   0.01155   0.01445    0.0433         3      1280    0.6044    0.7607    0.7428    0.4764   0.01312  0.009323   0.00977
   174/299     7.38G    0.0174   0.01166   0.01398   0.04305         7      1280    0.6039    0.7765    0.7497    0.4756   0.01319  0.009592   0.01004
   175/299     7.38G   0.01749   0.01137   0.01448   0.04334        13      1280    0.5694    0.7776    0.7493    0.4748    0.0132  0.009804  0.009805
   176/299     7.38G   0.01733   0.01141   0.01506    0.0438         9      1280    0.5855    0.7695    0.7479    0.4799   0.01331  0.009689  0.009789
   177/299     7.38G    0.0175   0.01174   0.01487   0.04411        14      1280     0.608     0.767    0.7462    0.4839   0.01306  0.009258  0.009786
   178/299     7.38G   0.01745    0.0111   0.01391   0.04246         3      1280    0.6121    0.7602    0.7427    0.4764   0.01325  0.009602  0.009896
   179/299     7.38G    0.0169   0.01132    0.0145   0.04272        16      1280    0.6311    0.7541    0.7511    0.4882     0.013  0.009356  0.009802
   180/299     7.38G   0.01762   0.01154   0.01449   0.04365         5      1280     0.583     0.755    0.7352    0.4773   0.01305  0.009845   0.01014
   181/299     7.38G    0.0167   0.01109   0.01434   0.04213         2      1280    0.5836    0.7677    0.7497    0.4855   0.01301  0.009731  0.009376
   182/299     7.38G   0.01699   0.01118   0.01382   0.04198         6      1280    0.6063    0.7618    0.7456    0.4769   0.01339  0.009873  0.009674
   183/299     7.38G   0.01722   0.01102   0.01444   0.04268         6      1280    0.6089    0.7722    0.7566     0.484   0.01327  0.009571   0.00934
   184/299     7.38G    0.0168   0.01091   0.01409    0.0418        11      1280    0.6044    0.7711    0.7489    0.4773   0.01343  0.009523  0.009492
   185/299     7.38G   0.01644    0.0108   0.01358   0.04083        10      1280    0.6412    0.7546    0.7461    0.4789   0.01315  0.009227  0.009882
   186/299     7.38G   0.01718   0.01099   0.01393    0.0421        18      1280    0.6295    0.7675    0.7501    0.4809   0.01314  0.009404  0.009646
   187/299     7.38G   0.01642   0.01102   0.01371   0.04116         3      1280    0.6235    0.7784    0.7566     0.494   0.01294  0.009516  0.009132
   188/299     7.38G   0.01661   0.01074   0.01401   0.04135        15      1280    0.6501    0.7572     0.754    0.4937   0.01307  0.009501   0.01024
   189/299     7.38G   0.01641   0.01121   0.01406   0.04168         2      1280    0.6277    0.7684     0.753    0.4999   0.01273  0.009473   0.01046
   190/299     7.38G   0.01653   0.01066    0.0139   0.04109         8      1280    0.6207    0.7746     0.758     0.494   0.01279   0.00968  0.009772
   191/299     7.38G   0.01666   0.01149   0.01342   0.04157         6      1280    0.6195    0.7777    0.7574    0.4982   0.01263  0.009389   0.00989
   192/299     7.38G    0.0168    0.0109   0.01378   0.04148         3      1280    0.6238    0.7535    0.7489    0.4844   0.01293  0.009249   0.01066
   193/299     7.38G   0.01627   0.01102   0.01353   0.04081        12      1280    0.6174    0.7689    0.7456    0.4884   0.01282  0.009548  0.009891
   194/299     7.38G   0.01631   0.01077   0.01325   0.04033         5      1280    0.6246    0.7647    0.7494    0.4886   0.01276  0.009589   0.01006
   195/299     7.38G   0.01604   0.01056   0.01232   0.03892         2      1280    0.6433    0.7693    0.7565     0.494   0.01273  0.009387   0.00992
   196/299     7.38G   0.01623   0.01096   0.01307   0.04027         2      1280    0.6438    0.7632    0.7582    0.4928   0.01285  0.009556   0.01002
   197/299     7.38G   0.01667   0.01092   0.01297   0.04056        13      1280    0.6167     0.778    0.7523    0.4882   0.01293  0.009655  0.009683
   198/299     7.38G   0.01669   0.01101   0.01398   0.04167        10      1280     0.616    0.7788    0.7597    0.4964   0.01278  0.009911  0.009854
   199/299     7.38G   0.01611   0.01103   0.01243   0.03957        15      1280      0.62    0.7769    0.7553    0.4992    0.0129  0.009529  0.009991
   200/299     7.38G   0.01642   0.01123   0.01327   0.04092         1      1280     0.621    0.7872     0.765     0.497   0.01296  0.009445  0.009567
   201/299     7.38G   0.01624   0.01067   0.01304   0.03995         6      1280    0.6176     0.791    0.7647    0.5007   0.01279  0.009703  0.009491
   202/299     7.38G   0.01595   0.01065    0.0126    0.0392         5      1280    0.6236    0.7886    0.7709    0.5021   0.01275  0.009922  0.009187
   203/299     7.38G   0.01616    0.0109   0.01304    0.0401         1      1280    0.6378    0.7856     0.764    0.4959   0.01287  0.009947  0.009549
   204/299     7.38G   0.01579   0.01061   0.01323   0.03963         8      1280    0.6352    0.7741    0.7624    0.5019   0.01265  0.009505  0.009814
   205/299     7.38G   0.01649   0.01118   0.01296   0.04063        11      1280    0.6243    0.7766    0.7626    0.5027   0.01261  0.009518  0.009962
   206/299     7.38G   0.01533   0.01034   0.01213    0.0378        12      1280     0.636    0.7763    0.7614    0.4948   0.01274  0.009723  0.009352
   207/299     7.38G   0.01581   0.01071   0.01294   0.03945         6      1280    0.6245    0.7858    0.7654    0.4942   0.01274  0.009646  0.009164
   208/299     7.38G   0.01578    0.0106   0.01203   0.03841         4      1280    0.6344    0.7784    0.7637    0.4953   0.01274  0.009418  0.009547
